index,well_id,easting,northing,depth_tvd_m,porosity_pct,bulk_density_gcc,formation_thickness_m,distance_to_usp_km,temp_harrison,temp_res_c,permeability_md,k_log
1605,BLT-01,141577.55,456881.76,1869.4529264417213,13.33628,2.499114,122.37544947053402,2.032828276,77.47407034219212,79.66670862465342,82.0,4.406719247264253
1606,BLT-01,141577.55,456881.76,1869.525572884029,13.45182,2.501922,122.37544947053402,2.032828276,77.47701621284101,79.66670862465342,82.0,4.406719247264253
1607,BLT-01,141577.55,456881.76,1869.598219326337,13.30473,2.506384,122.37544947053402,2.032828276,77.4799620587912,79.66670862465342,82.0,4.406719247264253
1608,BLT-01,141577.55,456881.76,1869.6708657686445,13.19133,2.509815,122.37544947053402,2.032828276,77.48290788004263,79.66670862465342,82.0,4.406719247264253
1609,BLT-01,141577.55,456881.76,1869.7435122109523,13.16089,2.511038,122.37544947053402,2.032828276,77.48585367659537,79.66670862465342,82.0,4.406719247264253
1610,BLT-01,141577.55,456881.76,1869.81615865326,13.21853,2.50965,122.37544947053402,2.032828276,77.48879944844937,79.66670862465342,82.0,4.406719247264253
1611,BLT-01,141577.55,456881.76,1869.8888050955677,13.32454,2.505587,122.37544947053402,2.032828276,77.49174519560464,79.66670862465342,82.0,4.406719247264253
1612,BLT-01,141577.55,456881.76,1869.9614515378755,13.54788,2.500762,122.37544947053402,2.032828276,77.4946909180612,79.66670862465342,82.0,4.406719247264253
1613,BLT-01,141577.55,456881.76,1870.0340979801829,13.93627,2.494016,122.37544947053402,2.032828276,77.49763661581899,79.66670862465342,82.0,4.406719247264253
1614,BLT-01,141577.55,456881.76,1870.1067444224905,14.42319,2.486289,122.37544947053402,2.032828276,77.50058228887809,79.66670862465342,82.0,4.406719247264253
1615,BLT-01,141577.55,456881.76,1870.1793908647985,14.84742,2.480052,122.37544947053402,2.032828276,77.50352793723847,79.66670862465342,82.0,4.406719247264253
1616,BLT-01,141577.55,456881.76,1870.252037307106,15.09578,2.476059,122.37544947053402,2.032828276,77.5064735609001,79.66670862465342,82.0,4.406719247264253
1617,BLT-01,141577.55,456881.76,1870.3246837494137,15.18771,2.471993,122.37544947053402,2.032828276,77.50941915986301,79.66670862465342,82.0,4.406719247264253
1618,BLT-01,141577.55,456881.76,1870.3973301917213,15.18304,2.466799,122.37544947053402,2.032828276,77.51236473412719,79.66670862465342,82.0,4.406719247264253
1619,BLT-01,141577.55,456881.76,1870.469976634029,15.1608,2.45937,122.37544947053402,2.032828276,77.51531028369266,79.66670862465342,82.0,4.406719247264253
1620,BLT-01,141577.55,456881.76,1870.542623076337,15.38866,2.450989,122.37544947053402,2.032828276,77.5182558085594,79.66670862465342,82.0,4.406719247264253
1621,BLT-01,141577.55,456881.76,1870.6152695186445,15.75477,2.445022,122.37544947053402,2.032828276,77.5212013087274,79.66670862465342,82.0,4.406719247264253
1622,BLT-01,141577.55,456881.76,1870.687915960952,16.13961,2.441005,122.37544947053402,2.032828276,77.52414678419669,79.66670862465342,82.0,4.406719247264253
1623,BLT-01,141577.55,456881.76,1870.76056240326,16.41649,2.438636,122.37544947053402,2.032828276,77.52709223496726,79.66670862465342,82.0,4.406719247264253
1624,BLT-01,141577.55,456881.76,1870.833208845568,16.18397,2.440727,122.37544947053402,2.032828276,77.53003766103909,79.66670862465342,82.0,4.406719247264253
1625,BLT-01,141577.55,456881.76,1870.9058552878755,15.48866,2.450354,122.37544947053402,2.032828276,77.5329830624122,79.66670862465342,82.0,4.406719247264253
1626,BLT-01,141577.55,456881.76,1870.9785017301829,14.70496,2.462759,122.37544947053402,2.032828276,77.53592843908656,79.66670862465342,82.0,4.406719247264253
1627,BLT-01,141577.55,456881.76,1871.051148172491,14.04518,2.475163,122.37544947053402,2.032828276,77.53887379106223,79.66670862465342,82.0,4.406719247264253
