DEPT,GR,DT,RHOB,DRHO
2140.0003,109.471909,73.370773,,
2139.9003,109.197754,73.029053,,
2139.8003,109.495224,72.771317,,
2139.7003,109.469437,72.532181,,
2139.6003,109.069382,72.568176,,
2139.5003,108.436295,72.808914,,
2139.4003,107.670975,73.034241,,
2139.3003,107.110428,73.268234,,
2139.2003,107.01265,73.605972,,
2139.1003,107.385254,74.050232,,
2139.0003,108.298447,74.43895,,
2138.9003,109.547302,74.612686,,
2138.8003,110.900742,74.566818,,
2138.7003,111.657242,74.395432,,
2138.6003,111.469833,74.276306,,
2138.5003,110.688431,74.310684,,
2138.4003,109.666245,74.283859,,
2138.3003,108.805344,74.141663,,
2138.2003,108.134659,74.051636,,
2138.1003,107.685516,73.724854,,
2138.0003,107.357697,73.024628,,
2137.9003,107.085068,72.359283,,
2137.8003,106.875656,72.094269,,
2137.7003,106.755768,72.242432,,
2137.6003,106.795258,72.425125,,
2137.5003,107.040298,72.546417,,
2137.4003,107.435577,72.664017,,
2137.3003,107.915741,72.75145,,
2137.2003,108.126648,72.725708,,
2137.1003,107.643204,72.54155,,
2137.0003,106.728622,72.325729,,
2136.9003,105.802078,72.184052,,
2136.8003,105.251968,72.116562,,
2136.7003,104.993103,71.971909,,
2136.6003,104.898239,71.794266,,
2136.5003,104.906891,71.775101,,
2136.4003,105.157944,71.84343,,
2136.3003,105.71637,71.924927,,
2136.2003,106.3405,72.000427,,
2136.1003,106.979904,72.05397,,
2136.0003,107.538528,72.050201,,
2135.9003,107.939697,71.982437,,
2135.8003,108.134201,71.942154,,
2135.7003,108.129944,71.938919,,
2135.6003,108.004715,71.859619,,
2135.5003,107.832886,71.735718,,
2135.4003,107.774231,71.678238,,
2135.3003,107.942291,71.771133,,
2135.2003,108.426254,72.008972,,
2135.1003,109.128799,72.262741,,
2135.0003,109.878326,72.360138,,
2134.9003,110.57872,72.397232,,
2134.8003,111.153381,72.522873,,
2134.7003,111.596924,72.704239,,
2134.6003,111.941833,72.710205,,
2134.5003,112.30043,72.421127,,
2134.4003,112.689453,72.057648,,
2134.3003,113.004288,71.909409,,
2134.2003,113.111191,72.035995,,
2134.1003,112.777649,72.171722,,
2134.0003,111.902069,72.353897,,
2133.9003,110.681198,72.646545,,
2133.8003,109.313232,72.886246,,
2133.7003,107.925522,72.604919,,
2133.6003,106.551102,71.821167,,
2133.5003,105.111908,71.262451,,
2133.4003,103.423965,70.856171,,
2133.3003,101.468048,70.306732,,
2133.2003,99.470566,69.785873,,
2133.1003,97.66745,69.557632,,
2133.0003,96.170029,69.623032,,
2132.9003,94.912231,69.769547,,
2132.8003,93.886795,69.805756,,
2132.7003,93.194183,69.735245,,
2132.6003,93.25116,69.772125,,
2132.5003,93.900055,70.017273,,
2132.4003,94.834778,70.373642,,
2132.3003,94.908508,70.639572,,
2132.2003,93.882141,70.681534,,
2132.1003,91.845795,70.493347,,
2132.0003,88.998169,69.994003,,
2131.9003,85.830658,69.266449,,
2131.8003,82.659149,68.439651,,
2131.7003,79.977325,67.466827,,
2131.6003,78.100037,66.622604,,
2131.5003,77.67627,66.15712,,
2131.4003,78.355606,65.763565,,
2131.3003,79.636429,65.48671,,
2131.2003,81.62114,65.627487,,
2131.1003,84.539627,66.027725,,
2131.0003,88.26001,66.448013,,
2130.9003,92.060654,66.812653,,
2130.8003,95.531601,67.219177,,
2130.7003,98.772263,67.727661,,
2130.6003,101.470627,68.318375,,
2130.5003,103.199295,68.82106,,
2130.4003,103.9561,69.183563,,
2130.3003,103.142929,69.428223,,
2130.2003,101.103958,69.591492,,
2130.1003,98.265305,69.702026,,
2130.0003,95.199097,69.774307,,
2129.9003,92.178162,69.817993,,
2129.8003,89.288651,69.81337,,
2129.7003,87.156799,69.683105,,
2129.6003,85.973206,69.373734,,
2129.5003,85.849823,68.950729,,
2129.4003,86.726074,68.55748,,
2129.3003,88.280853,68.07756,,
2129.2003,90.410294,67.442108,,
2129.1003,92.200882,67.084686,,
2129.0003,92.96785,67.231918,,
2128.9003,92.376175,67.670197,,
